id_venta,fecha_venta,medicamento,categoria,farmacia,ciudad,cantidad_unidades,precio_unitario_cop,regimen,formula_medica,stock_disponible,proveedor,dias_vencimiento,total_venta_cop,mes,trimestre
VTA-5000,2024-07-25,Ibuprofeno 400mg,Antiinflamatorio,Droguería Central,Medellín,16,50800.0,Subsidiado,No,145,MK,150,812800.0,7,3
VTA-5001,2024-07-13,Losartán 50mg,Antihipertensivo,Farmacenter,Medellín,51,68800.0,Subsidiado,Sí,436,Bayer,389,3508800.0,7,3
VTA-5002,2024-04-12,Diclofenaco 50mg,Antiinflamatorio,Droguería Central,Bucaramanga,10,36400.0,Subsidiado,No,88,Lafrancol,174,364000.0,4,2
VTA-5003,2024-11-02,Azitromicina 500mg,Antibiótico,FarmaPlus,Bogotá,49,81300.0,Subsidiado,No,206,Bayer,285,3983700.0,11,4
VTA-5004,2024-04-01,Diclofenaco 50mg,Antiinflamatorio,FarmaPlus,Cali,35,29700.0,Contributivo,Sí,279,Lafrancol,48,1039500.0,4,2
VTA-5005,2024-04-27,Azitromicina 500mg,Antibiótico,Droguería Central,Cali,5,43300.0,Subsidiado,Sí,190,Novartis,529,216500.0,4,2
VTA-5006,2024-05-07,Paracetamol 1g,Analgésico,Salud & Vida,Barranquilla,18,36200.0,Contributivo,Sí,128,MK,252,651600.0,5,2
VTA-5007,2024-03-09,Metformina 850mg,Antidiabético,Droguería Central,Barranquilla,20,6300.0,Contributivo,Sí,36,Lafrancol,106,126000.0,3,1
VTA-5008,2024-02-14,Atorvastatina 20mg,Hipolipemiante,Salud & Vida,Bogotá,48,20800.0,Contributivo,No,421,Bayer,642,998400.0,2,1
VTA-5009,2024-05-08,Metformina 850mg,Antidiabético,FarmaPlus,Cali,15,50200.0,Particular,No,73,Lafrancol,407,753000.0,5,2
VTA-5010,2024-07-15,Ibuprofeno 400mg,Antiinflamatorio,FarmaPlus,Bucaramanga,53,39000.0,Particular,Sí,128,Novartis,117,2067000.0,7,3
VTA-5011,2024-09-28,Loratadina 10mg,Antihistamínico,Farmacenter,Cali,20,13100.0,Particular,Sí,153,Genfar,623,262000.0,9,3
VTA-5012,2024-12-16,Losartán 50mg,Antihipertensivo,Droguería Central,Cali,9,10500.0,Subsidiado,No,79,Bayer,310,94500.0,12,4
VTA-5013,2024-12-24,Loratadina 10mg,Antihistamínico,Droguería Central,Bucaramanga,41,27000.0,Particular,Sí,457,Bayer,170,1107000.0,12,4
VTA-5014,2024-10-02,Ibuprofeno 400mg,Antiinflamatorio,Salud & Vida,Bogotá,18,25000.0,Particular,Sí,37,Genfar,658,450000.0,10,4
VTA-5015,2024-02-15,Ibuprofeno 400mg,Antiinflamatorio,Salud & Vida,Barranquilla,10,36100.0,Particular,No,130,Novartis,681,361000.0,2,1
VTA-5016,2024-11-15,Amoxicilina 500mg,Antibiótico,Cruz Verde,Cali,59,16400.0,Subsidiado,No,296,MK,305,967600.0,11,4
VTA-5017,2024-09-07,Omeprazol 20mg,Antiácido,Droguería Central,Cali,50,47400.0,Contributivo,No,481,Genfar,536,2370000.0,9,3
VTA-5018,2024-04-12,Metformina 850mg,Antidiabético,Salud & Vida,Cali,37,27900.0,Particular,No,422,Novartis,452,1032300.0,4,2
VTA-5019,2024-08-03,Loratadina 10mg,Antihistamínico,Salud & Vida,Bogotá,42,45200.0,Contributivo,Sí,166,Lafrancol,668,1898400.0,8,3
VTA-5020,2024-11-09,Paracetamol 1g,Analgésico,FarmaPlus,Bogotá,12,46000.0,Subsidiado,Sí,67,MK,87,552000.0,11,4
VTA-5021,2024-10-28,Amoxicilina 500mg,Antibiótico,Farmacenter,Medellín,57,32200.0,Particular,Sí,458,Novartis,194,1835400.0,10,4
VTA-5022,2024-04-20,Azitromicina 500mg,Antibiótico,Farmacenter,Medellín,15,32800.0,Particular,Sí,249,Bayer,413,492000.0,4,2
VTA-5023,2024-07-10,Azitromicina 500mg,Antibiótico,Cruz Verde,Cali,2,27600.0,Subsidiado,No,171,Bayer,708,55200.0,7,3
VTA-5024,2024-07-17,Metformina 850mg,Antidiabético,Salud & Vida,Bogotá,40,14300.0,Subsidiado,No,75,MK,87,572000.0,7,3
VTA-5025,2024-12-15,Diclofenaco 50mg,Antiinflamatorio,FarmaPlus,Barranquilla,54,73200.0,Particular,Sí,142,Lafrancol,228,3952800.0,12,4
VTA-5026,2024-04-18,Loratadina 10mg,Antihistamínico,FarmaPlus,Medellín,26,47600.0,Particular,Sí,381,Novartis,703,1237600.0,4,2
VTA-5027,2024-03-18,Atorvastatina 20mg,Hipolipemiante,Farmacenter,Cali,8,51300.0,Subsidiado,Sí,183,Novartis,92,410400.0,3,1
VTA-5028,2024-08-24,Metformina 850mg,Antidiabético,Salud & Vida,Bogotá,41,83500.0,Subsidiado,Sí,116,MK,576,3423500.0,8,3
VTA-5029,2024-12-04,Diclofenaco 50mg,Antiinflamatorio,Farmacenter,Barranquilla,8,81100.0,Contributivo,No,252,Lafrancol,385,648800.0,12,4
VTA-5030,2024-04-01,Ibuprofeno 400mg,Antiinflamatorio,Droguería Central,Bucaramanga,47,54800.0,Particular,Sí,227,Bayer,519,2575600.0,4,2
VTA-5031,2024-10-17,Diclofenaco 50mg,Antiinflamatorio,Droguería Central,Bucaramanga,39,10800.0,Particular,Sí,473,Genfar,259,421200.0,10,4
VTA-5032,2024-06-22,Amoxicilina 500mg,Antibiótico,Farmacenter,Barranquilla,22,9600.0,Subsidiado,Sí,308,Novartis,650,211200.0,6,2
VTA-5033,2024-02-12,Atorvastatina 20mg,Hipolipemiante,Cruz Verde,Cali,48,24700.0,Subsidiado,No,100,Genfar,527,1185600.0,2,1
VTA-5034,2024-09-27,Diclofenaco 50mg,Antiinflamatorio,Salud & Vida,Bogotá,32,59900.0,Particular,Sí,327,Genfar,369,1916800.0,9,3
VTA-5035,2024-12-12,Losartán 50mg,Antihipertensivo,Cruz Verde,Barranquilla,53,5200.0,Subsidiado,Sí,258,Genfar,421,275600.0,12,4
VTA-5036,2024-02-14,Losartán 50mg,Antihipertensivo,FarmaPlus,Bucaramanga,44,4000.0,Contributivo,No,423,Novartis,499,176000.0,2,1
VTA-5037,2024-08-28,Omeprazol 20mg,Antiácido,Cruz Verde,Medellín,47,65900.0,Subsidiado,Sí,116,Lafrancol,457,3097300.0,8,3
VTA-5038,2024-06-10,Paracetamol 1g,Analgésico,FarmaPlus,Cali,40,15200.0,Contributivo,No,355,Bayer,666,608000.0,6,2
VTA-5039,2024-07-25,Atorvastatina 20mg,Hipolipemiante,Droguería Central,Cali,8,30000.0,Contributivo,Sí,36,Genfar,146,240000.0,7,3
VTA-5040,2024-01-22,Amoxicilina 500mg,Antibiótico,Droguería Central,Medellín,36,5200.0,Particular,Sí,54,Bayer,61,187200.0,1,1
VTA-5041,2024-05-17,Atorvastatina 20mg,Hipolipemiante,Farmacenter,Bucaramanga,50,22000.0,Contributivo,Sí,452,Genfar,506,1100000.0,5,2
